Superseded file (original path),Date,Kept instead (newer),Kept date
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_Annual_Precip_121925.jpg",2025-12-19,Mid-Century/Annual/MC_SSP245_PRUSVI_Annual_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_DJF_Precip_121925.aix",2025-12-19,Mid-Century/Winter (DJF)/MC_SSP245_PRUSVI_DJF_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_DJF_Precip_121925.jpg",2025-12-19,Mid-Century/Winter (DJF)/MC_SSP245_PRUSVI_DJF_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_JJA_Precip_121925.aix",2025-12-19,Mid-Century/Summer (JJA)/MC_SSP245_PRUSVI_JJA_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_JJA_Precip_121925.jpg",2025-12-19,Mid-Century/Summer (JJA)/MC_SSP245_PRUSVI_JJA_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_MAM_Precip_121925.aix",2025-12-19,Mid-Century/Spring (MAM)/MC_SSP245_PRUSVI_MAM_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_MAM_Precip_121925.jpg",2025-12-19,Mid-Century/Spring (MAM)/MC_SSP245_PRUSVI_MAM_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_SON_Precip_121925.aix",2025-12-19,Mid-Century/Fall (SON)/MC_SSP245_PRUSVI_SON_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_SON_Precip_121925.jpg",2025-12-19,Mid-Century/Fall (SON)/MC_SSP245_PRUSVI_SON_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_Annual_Precip_121925.aix",2025-12-19,Mid-Century/Annual/MC_SSP245_HI_Annual_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_Annual_Precip_121925.jpg",2025-12-19,Mid-Century/Annual/MC_SSP245_HI_Annual_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_DJF_Precip_121925.aix",2025-12-19,Mid-Century/Winter (DJF)/MC_SSP245_HI_DJF_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_DJF_Precip_121925.jpg",2025-12-19,Mid-Century/Winter (DJF)/MC_SSP245_HI_DJF_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_JJA_Precip_121925.aix",2025-12-19,Mid-Century/Summer (JJA)/MC_SSP245_HI_JJA_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_JJA_Precip_121925.jpg",2025-12-19,Mid-Century/Summer (JJA)/MC_SSP245_HI_JJA_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_MAM_Precip_121925.aix",2025-12-19,Mid-Century/Spring (MAM)/MC_SSP245_HI_MAM_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_MAM_Precip_121925.jpg",2025-12-19,Mid-Century/Spring (MAM)/MC_SSP245_HI_MAM_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_SON_Precip_121925.aix",2025-12-19,Mid-Century/Fall (SON)/MC_SSP245_HI_SON_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Hawaii/121925/MC_SSP245_HI_SON_Precip_121925.jpg",2025-12-19,Mid-Century/Fall (SON)/MC_SSP245_HI_SON_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/OCONUS/MC_SSP245_AK_Annual_Precip_112125_v2.aix",2025-11-24,Mid-Century/Annual/MC_SSP245_AK_Annual_Precip_012226.aix,2026-01-22
"Mid Century, SSP245/OCONUS/MC_SSP245_AK_Annual_Precip_112125_v2.jpg",2025-11-24,Mid-Century/Annual/MC_SSP245_AK_Annual_Precip_012226.jpg,2026-01-22
